"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"ANS - Agência Nacional de Saúde Suplementar";"Beneficiários por operadora e tipo de carteira para cálculo da VDA";"Série histórica mensal  de vínculos ativos de beneficiários consolidados por operadora e tipo de plano para o cálculo da variação das despesas assistenciais (VDA) por carteira.
 
O objetivo deste conjunto de dados é facilitar a reprodução do cálculo da Variação das Despesas Assistenciais por beneficiário – principal componente do Índice de Reajuste de Planos Individuais (IRPI) – em conformidade com os princípios de transparência que fundamentam a RN nº 441/2018, que estabelece critérios para cálculo do reajuste máximo das contraprestações dos planos individuais ou familiares, médico-hospitalares.
 
Esse conjunto de dados é atualizado trimestralmente, permitindo, assim, o acompanhamento da evolução da VDA nesses intervalos. Já a base de beneficiários congelada que foi utilizada no cálculo da VDA como componente do IRPI está disponível em pasta específica para esse fim, de forma a possibilitar a reprodução exata do cálculo oficial. Os filtros e critérios de tratamento dos dados especificamente aplicados no cálculo da VDA oficial a cada ano estão detalhados em nota técnica e em formato de notebook na linguagem R. Os documentos estão disponíveis no site da ANS através do link https://www.gov.br/ans/pt-br/assuntos/consumidor/reajuste-variacao-de-mensalidade/reajuste-anual-de-planos-individuais-familiares-1/metodologia-de-calculo";"ANS,IRPI,VDA,beneficiários";"2";"0";"2072"
"ANS - Agência Nacional de Saúde Suplementar";"Caderno de Informação";"Trata-se de conjunto de dados da Agência Nacional de Saúde Suplementar (ANS), o qual disponibiliza uma compilação de dados estruturantes do setor constantes na publicação Caderno, com informações relevantes sobre o setor regulado.";"ANS,caderno de informação";"4";"0";"1072"
"ANS - Agência Nacional de Saúde Suplementar";"Características dos Produtos da Saúde Suplementar";"Este conjunto de dados relaciona todos os planos de saúde registrados ou cadastrados junto à ANS, e suas principais características: operadora, nome do plano, vigência anterior ou posterior à Lei 9.656, cobertura médico-hospitalar ou exclusivamente odontológica, tipo de contratação, segmentação assistencial, formação de preço pré ou pós-estabelecido, presença de coparticipação ou franquia, entre outras.";"ANS,Lei 9.656,RPS,operadora,plano de saúde";"5";"0";"11291"
"ANS - Agência Nacional de Saúde Suplementar";"Classificação Prudencial das Operadoras de Planos de saúde";"Dados da classificação Prudencial em vigor das operadoras de planos de saúde, conforme Resolução Normativa (RN) nº 475, de 23 de dezembro de 2021. A classificação é o passo inicial para a aplicação proporcional da regulação prudencial, que busca ajustar com maior precisão requisitos ou medidas à magnitude do risco das reguladas, graduando obrigações e custos regulatórios conforme diferentes perfis de riscos das operadoras sempre que possível.";"ANS,classificação prudencial,operadoras";"3";"0";"484"
"ANS - Agência Nacional de Saúde Suplementar";"Dados de Beneficiários por Região Geográfica";"Trata-se de conjunto de dados disponibilizado pela Agência Nacional de Saúde Suplementar (ANS) que apresenta a quantidade de beneficiários de planos de saúde por Unidade Federativa, Região Metropolitana e capital.";"ANS,Região Geográfica,beneficiários";"2";"0";"2420"
"ANS - Agência Nacional de Saúde Suplementar";"Dados de Beneficiários por operadora";"Trata-se de conjunto de dados disponibilizado pela Agência Nacional de Saúde Suplementar (ANS) que apresenta vínculos ativos e inativos dos beneficiários de planos de saúde ofertados pelas operadoras.";"ANS,SIB,beneficiário,operadora,plano de saúde";"2";"0";"7945"
"ANS - Agência Nacional de Saúde Suplementar";"Dados de Produção Assistencial do Setor do Sistema de Informações de Produtos - SIP";"Conjunto de dados de produção de serviços de saúde prestados pelas operadoras de planos privados de assistência à saúde, oriundos do Sistema de Informações de Produtos - SIP, por trimestre de reconhecimento.";"ANS,Mapa assistencial,SIP,operadoras,planos de saúde";"2";"0";"2288"
"ANS - Agência Nacional de Saúde Suplementar";"Dados de cobrança e arrecadação do Ressarcimento ao SUS";"Dados relacionados à cobrança e ao pagamento de valores pelas operadoras de planos de saúde junto ao ressarcimento ao SUS, incluindo todas as operadoras que já tenham sido cobradas na história do ressarcimento.";"ANS,Ressarcimento ao SUS,operadoras,planos de saúde";"2";"0";"783"
"ANS - Agência Nacional de Saúde Suplementar";"Dados de pagamento do Ressarcimento ao SUS por operadora";"Dados relativos ao  pagamento administrativo das dívidas das operadoras de planos de saúde junto ao ressarcimento ao SUS, incluindo todas as operadoras que já tenham sido cobradas na história do ressarcimento. Não compõem este índice os débitos suspensos judicialmente (considerados pendências administrativas).";"ANS,ressarcimento ao sus";"2";"0";"3683"
"ANS - Agência Nacional de Saúde Suplementar";"Dados do Ressarcimento ao SUS por Beneficiário Identificado e ABI";"Ocorrências de utilização do Sistema Único de Saúde (SUS) por beneficiários de operadoras privadas de planos de saúde (beneficiários identificados - número e valores, por operadora, por ABI, sem identificação do beneficiário).";"ANS,Ressarcimeno ao SUS,beneficiários,plano de saúde";"2";"0";"1606"
