"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"ANS - Agência Nacional de Saúde Suplementar";"Promoprev";"Trata-se de conjunto de dados abertos que contém informações sobre as operadoras de planos de saúde que desenvolvem, de forma voluntária, programas de promoção da saúde e prevenção de riscos e doenças aprovados pela ANS (PROMOPREV).";"ANS,PROMOPREV,operadoras,planos de saúde";"2";"0";"333"
"ANS - Agência Nacional de Saúde Suplementar";"Reajuste de Planos coletivos";"Dados de comunicados de reajuste financeiro anual por variação de custos das contraprestações pecuniárias de planos coletivos com modalidade de financiamento pré-estabelecido por contrato e plano de cada operadora.
 
O Banco de dados dos comunicados de reajuste dos contratos coletivos (RPC) é alimentado pelas operadoras mediante a aplicação dos reajustes de seus contratos e dentro dos prazos determinados conforme a norma em vigor. A IN/DIPRO nº 13, de 21 de julho de 2006, trata dos procedimentos de comunicação dos reajustes de planos coletivos à ANS e determina os seguintes prazos para envio destes comunicados:
 
(1) Reajustes aplicados em março, abril e maio: até o dia 30 de junho subsequente;
(2) Reajustes aplicados em junho, julho e agosto: até o dia 30 de setembro subsequente;
(3) Reajustes aplicados em setembro, outubro e novembro: até o dia 31 de dezembro subsequente; e
(4) Reajustes aplicados em dezembro, janeiro e fevereiro: até o dia 31 de março subsequente.";"ANS,RPC,operadoras,planos de saúde,reajustes";"2";"0";"3249"
"ANS - Agência Nacional de Saúde Suplementar";"Regimes Especiais de Direção Técnica";"Trata-se de um conjunto de dados contendo a relação das operadoras de planos de saúde nas quais foi instaurado o regime especial de Direção Técnica pela ANS. 
O regime especial de Direção Técnica foi estabelecido pela Lei 9.656/1998. Na ANS, foi competência regimental da DIOPE até 2011, quando passou a ser da competência regimental da DIPRO. O conjunto de dados contém a relação de todos os regimes especiais instaurados e as respectivas Resoluções Operacionais publicadas.";"ANS,direção técnica,operadoras,planos de saúde";"2";"0";"608"
"ANS - Agência Nacional de Saúde Suplementar";"Serviços e Coberturas Adicionais dos Planos de Saúde";"Serviços e coberturas adicionais dos Planos de Saúde são serviços ou coberturas de assistência à saúde que não estão previstos na Lei nº 9.656/1998 ou que não estão inclusos no Rol de Procedimentos e Eventos em Saúde da ANS.

Os Serviços e Coberturas Adicionais estão descritos no item 13 do Anexo II da RN nº 85/2004.

Podem ser oferecidos pelas operadoras de planos de saúde de duas maneiras: registrado junto ao plano, como uma cobertura adicional, no Sistema de Registro de Plano de Saúde-RPS da ANS; ou comercializado de forma apartada, não constante do registro do produto na ANS, nos termos contratuais estabelecidos entre o contratante e a operadora.

Quando houver comercialização de Serviços e Coberturas Adicionais, além da obrigatória explicitação nos instrumentos contratuais dos planos ou em aditivos, os cálculos para esses opcionais deverão constar em anexos específicos da NTRP. Na hipótese dessa contratação ocorrer em separado do plano, será dispensada essa informação na NTRP.

É vedada às operadoras de planos de saúde a oferta de Serviços e Coberturas Adicionais que não apresentem características relacionadas à assistência à saúde.";"ANS,NTRP,RPS,planos de saúde";"2";"0";"751"
"ANS - Agência Nacional de Saúde Suplementar";"Solicitações de Alteração de Rede Hospitalar";"Dados de solicitações de substituição ou redimensionamento por redução de rede hospitalar, por operadora e plano, indicando o resultado da análise de solicitação (deferido/indeferido). Os dados são extraídos da base de dados do Sistema de Alteração de Rede Hospitalar.";"ANS,operadoras,planos de saúde,rede hospitalar";"2";"0";"477"
"ANS - Agência Nacional de Saúde Suplementar";"Taxa de Cobertura de Planos de Saúde";"Trata-se da razão expressa, em porcentagem, entre o número de beneficiários e a população em uma área geográfica específica, com base em dados do Sistema de Informações de Beneficiários (SIB/ANS) / IBGE/DATASUS.";"ANS,SIB,beneficiários,operadoras,planos de saúde,taxa de cobertura";"3";"0";"2213"
"ANS - Agência Nacional de Saúde Suplementar";"Taxa de Resolutividade (TR)";"A Taxa de Resolutividade (TR) é uma métrica calculada pela ANS com base nas reclamações registradas por consumidores e que foram processadas via Notificação de Intermediação Preliminar (NIP), que é considerado um método extrajudicial de resolução de conflitos. A TR mede a capacidade de resolução das demandas objeto de NIP, sem a necessidade de abertura de processo administrativo. Assim sendo, um percentual elevado de finalização de demandas no âmbito da NIP indica que a Operadora tem maior capacidade de equacionar o indício de infração narrado pelo consumidor.";"ANS,NIP,operadoras,planos de saúde,taxa de resolutividade";"3";"0";"1434"
"ANS - Agência Nacional de Saúde Suplementar";"Terminologia Unificada da Saúde Suplementar (TUSS)";"O componente de representação de conceitos em saúde estabelece o conjunto de termos para identificar os eventos e itens assistenciais da saúde suplementar, consolidados na Terminologia Unificada da Saúde Suplementar - TUSS.";"ANS,TISS,TUSS";"2";"0";"14170"
"ANS - Agência Nacional de Saúde Suplementar";"Valor Comercial da Mensalidade por Faixa Etária";"O conjunto de dados abertos ""Valor Comercial da Mensalidade por faixa etária"" se refere aos dados informados nas Notas Técnicas homologadas junto à ANS em conformidade com o Anexo II-B, da IN/DIPRO Nº 8, de 27 de dezembro de 2002.";"ANS,NTRP,planos de saúde,valores comerciais";"2";"0";"2494"
"ANS - Agência Nacional de Saúde Suplementar";"Valor Comercial por Município (NTRP)";"Série histórica dos Valores Comerciais por plano e por município para novas contratações dos planos de saúde disponíveis para comercialização.
Os Valores Comerciais de referência para precificação de planos de saúde são informados na Nota Técnica, que é o documento que justifica a formação inicial dos preços de planos de saúde por meio de cálculos atuariais, correspondentes ao Valor Comercial da Mensalidade (Coluna T do Anexo II-B da IN nº 08/2002 da DIPRO). 
Os valores estão em preços correntes nominais e, portanto, não são deflacionados ao longo do período. 
O Valor Comercial de um plano pode apresentar diferenças em relação aos preços de comercialização praticados nas tabelas de venda utilizadas pelas operadoras. Os preços efetivamente praticados para a contratação dos produtos devem estar dentro dos limites de comercialização estabelecidos em normativo, quais sejam:
Limite máximo: 30% acima do Valor Comercial;
Limite mínimo: o maior valor entre o valor da despesa assistencial estimada e o limiar de 30% abaixo do Valor Comercial. 
Os dados estão disponíveis por plano, faixa etária e município de comercialização e referem-se aos planos que estavam disponíveis para comercialização e com notas técnicas vigentes ao final de dezembro de cada ano desde 2014. Essa data de corte considera a entrada em vigor da RN nº 304/2012, que tornou obrigatória a homologação de notas técnicas para a comercialização de todos os planos coletivos de cobertura médico-hospitalar com formação de preço pré-estabelecida. Até então, grande parte dos planos coletivos eram isentos de envio de nota técnica para sua comercialização, o que provocou um grande aumento de homologações de notas técnicas nesses tipos de planos ao longo do ano de 2013. Dessa forma, análises da série histórica do Valor Comercial Médio agregado com dados anteriores a janeiro de 2014 poderiam incluir distorções expressivas e estão excluídas do escopo deste conjunto de dados.";"ANS,NTRP,planos de saúde,valores comerciais";"2";"0";"1896"
"ANS - Agência Nacional de Saúde Suplementar";"Área de comercialização dos planos de saúde";"Lista os municípios de comercialização dos planos de saúde conforme definidos em Nota Técnica de Registro do Produto (NTRP). Apenas planos posteriores à Lei 9.656/1998, de cobertura médico-hospitalar e com formação de preço preestabelecida (mensalidade fixa) têm área de comercialização definida por Nota Técnica. Operadoras podem atualizar as Notas Técnicas de um plano a qualquer momento, inclusive alterando sua área de comercialização. 
Este conjunto de dados informa os municípios de comercialização listados em todas as notas técnicas homologadas ao longo da existência do produto e a data de entrada em vigor de cada nota técnica. A área de comercialização de um plano pode ser menor ou igual à área em que o plano oferece cobertura assistencial. Nos casos de planos antigos ou de cobertura exclusivamente odontológica ou com formação de preço pós-estabelecida, os municípios de comercialização são os mesmos municípios em que o plano oferece cobertura.";"ANS,NTRP,planos de saúde,área de comercialização";"2";"0";"2104"
"ANS - Agência Nacional de Saúde Suplementar";"Índice Geral de Reclamações - IGR  (Metodologia a partir de 2023)";"O IGR é uma métrica calculada pela ANS com base nas reclamações registradas por consumidores processadas via Notificação de Intermediação Preliminar (NIP). Ele apresenta uma relação inversamente proporcional à satisfação dos beneficiários, onde pode-se dizer que quanto menor for o valor do IGR, maior é a satisfação dos beneficiários com a(s) Operadora(s).";"ANS,IGR,operadoras,planos de saúde";"3";"0";"3237"
